site type,truth site,proposal site,spatial overlap,temporal iot,temporal iop,min spatial distance,central spatial distance,max spatial distance,min temporal distance,central temporal distance,max temporal distance,truth activity start date,truth activity end date,proposal activity start date,proposal activity end date,model type
positive_excluded,KR_R002_0090,KR_R002_7023_test_2.0.0,,,,274.0317552990215,341.1659654856696,419.3083497171859,50,386,722,2018-01-19,2018-01-19,2016-01-28,2017-11-30,point
positive_excluded,KR_R002_0091,KR_R002_7021_test_2.0.0,,,,198.21616796723157,356.739195840069,545.020078333915,0,490,1007,2019-09-03,2019-09-03,2016-11-30,2019-09-30,point
positive_excluded,KR_R002_0091,KR_R002_7022_test_2.0.0,,,,284.7030547359654,505.89122414682515,749.729026197157,0,451,1007,2019-09-03,2019-09-03,2016-11-30,2019-12-16,point
positive_excluded,KR_R002_0091,KR_R002_7023_test_2.0.0,,,,193.47321652534117,260.3219017699267,344.62376668712807,642,978,1314,2019-09-03,2019-09-03,2016-01-28,2017-11-30,point
positive_excluded,KR_R002_0092,KR_R002_7021_test_2.0.0,,,,107.07239446350377,176.2995181783424,291.4103191755342,296,813,1330,2020-07-22,2020-07-22,2016-11-30,2019-09-30,point
positive_excluded,KR_R002_0092,KR_R002_7022_test_2.0.0,,,,42.42821785256431,203.9709511003781,442.1954911279108,219,774,1330,2020-07-22,2020-07-22,2016-11-30,2019-12-16,point
positive_excluded,KR_R002_0092,KR_R002_7023_test_2.0.0,,,,174.2422817108097,264.0939759628335,369.266276433353,965,1301,1637,2020-07-22,2020-07-22,2016-01-28,2017-11-30,point
negative,KR_R002_0118,KR_R002_7021_test_2.0.0,,,,215.37074274668745,304.6217011851212,406.62100754779635,454,971,1488,2020-12-27,2020-12-27,2016-11-30,2019-09-30,point
negative,KR_R002_0118,KR_R002_7022_test_2.0.0,,,,120.86322599550857,165.58151001840127,322.3524482560114,377,932,1488,2020-12-27,2020-12-27,2016-11-30,2019-12-16,point
negative,KR_R002_0118,KR_R002_7023_test_2.0.0,,,,226.59937455953727,361.6361256401108,487.1882328755645,1123,1459,1795,2020-12-27,2020-12-27,2016-01-28,2017-11-30,point
negative,KR_R002_0119,KR_R002_7015_test_2.0.0,,,,29.20158079292704,99.75098090633881,186.34975356100506,100,410,720,2021-05-29,2021-05-29,2019-06-09,2021-02-18,point
negative,KR_R002_0121,KR_R002_7015_test_2.0.0,,,,481.5916592266093,571.7960965702694,648.6086344577559,0,-21,-331,2020-03-24,2020-03-24,2019-06-09,2021-02-18,point
negative,KR_R002_0122,KR_R002_7015_test_2.0.0,,,,478.6201378323572,562.5144459634702,639.246790825352,0,-299,-609,2019-06-20,2019-06-20,2019-06-09,2021-02-18,point
positive_excluded,KR_R002_0126,KR_R002_7017_test_2.0.0,,,,189.77615779013715,531.7403361047461,882.6279837759993,796,1487,2178,2020-01-21,2020-01-21,2014-02-03,2017-11-16,point
positive,KR_R002_0127,KR_R002_7017_test_2.0.0,,,,2.542350617554606,292.72332717365964,638.2801773475471,406,1097,1788,2018-12-27,2018-12-27,2014-02-03,2017-11-16,point
positive,KR_R002_0129,KR_R002_7017_test_2.0.0,,,,252.54648795735918,274.5440220504898,484.0411842548324,0,93,784,2016-03-28,2016-03-28,2014-02-03,2017-11-16,point
positive_excluded,KR_R002_0130,KR_R002_7017_test_2.0.0,,,,357.4104032670053,687.4181603081556,1020.7417907627463,935,1626,2317,2020-06-08,2020-06-08,2014-02-03,2017-11-16,point
positive_excluded,KR_R002_0131,KR_R002_7017_test_2.0.0,,,,462.1415233146408,812.8983183271616,1157.2798557446758,1111,1802,2493,2020-12-01,2020-12-01,2014-02-03,2017-11-16,point
positive_excluded,KR_R002_0132,KR_R002_7017_test_2.0.0,,,,284.2649933971322,632.1367878238298,977.807159717345,633,1324,2015,2019-08-11,2019-08-11,2014-02-03,2017-11-16,point
ignore,KR_R002_0137,KR_R002_7000_test_2.0.0,,,,146.63535984677878,588.4244037557228,1135.480757462944,0,293,796,2017-03-29,2017-03-29,2015-01-23,2017-10-25,point
ignore,KR_R002_0137,KR_R002_7001_test_2.0.0,,,,269.4899545332908,366.4983675562112,458.85090002336466,0,-554,-1167,2017-03-29,2017-03-29,2017-01-29,2020-06-08,point
ignore,KR_R002_0137,KR_R002_7003_test_2.0.0,,,,127.32654647471712,217.41130343491486,369.33136847123797,0,232,796,2017-03-29,2017-03-29,2015-01-23,2018-02-23,point
ignore,KR_R002_0137,KR_R002_7004_test_2.0.0,,,,86.14028700480903,577.6236397948937,1040.4808056949535,0,295,796,2017-03-29,2017-03-29,2015-01-23,2017-10-20,point
positive,KR_R002_0139,KR_R002_7012_test_2.0.0,,,,55.62217710213927,193.37456208047914,525.9438642122427,1169,1897,2625,2021-04-12,2021-04-12,2014-02-03,2018-01-29,point
positive,KR_R002_0139,KR_R002_7024_test_2.0.0,,,,253.52142419594088,427.59478682904984,570.1138968590885,1229,1927,2625,2021-04-12,2021-04-12,2014-02-03,2017-11-30,point
positive,KR_R002_0141,KR_R002_7020_test_2.0.0,,,,263.6895034552819,673.8564161052466,1241.3732557950104,280,872,1465,2018-02-07,2018-02-07,2014-02-03,2017-05-03,point
